date,disease,pathway,countries,who_report_url
2022-05-29,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON388
2022-05-21,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON385
2022-05-19,Swine-origin influenza,livestock,DE,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON384
2022-05-18,Mpox,wildlife,GB IE,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON383
2022-05-17,MERS,livestock,OM,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON380
2022-05-16,Mpox,wildlife,GB IE,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON381
2022-05-13,Lassa fever,wildlife,GN,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON382
2022-05-12,MERS,livestock,QA,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON370
2022-05-09,Avian influenza,birds,CN,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON378
2022-05-06,Avian influenza,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON379
2022-04-28,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON377
2022-04-28,Japanese encephalitis,vector,AU,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON365
2022-04-25,Yellow fever,vector,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON367
2022-04-07,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON363
2022-03-25,Yellow fever,vector,KE,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON361
2022-03-24,Lassa fever,wildlife,TG,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON362
2022-02-21,Lassa fever,wildlife,GB IE,https://www.who.int/emergencies/disease-outbreak-news/item/lassa-fever-united-kingdom-of-great-britain-and-northern-ireland
2022-02-14,Lassa fever,wildlife,NG,https://www.who.int/emergencies/disease-outbreak-news/item/lassa-fever---nigeria
2022-01-05,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON297
2022-01-05,Swine-origin influenza,livestock,BR,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON286
2022-01-05,COVID-19,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON238
2022-01-05,Ebola and Sudan virus disease,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON235
2022-01-05,Avian influenza,birds,RU,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON313
2021-12-23,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/yellow-fever---west-and-central-africa
2021-12-16,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON351
2021-12-13,MERS,livestock,AE,https://www.who.int/emergencies/disease-outbreak-news/item/middle-east-respiratory-syndrome-coronavirus-(mers-cov)-united-arab-emirates
2021-12-01,Yellow fever,vector,GH,https://www.who.int/emergencies/disease-outbreak-news/item/yellow-fever---ghana
2021-11-25,Mpox,wildlife,US,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON344
2021-10-13,Yellow fever,vector,VE,https://www.who.int/emergencies/disease-outbreak-news/item/yellow-fever---bolivarian-republic-of-venezuela
2021-10-10,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/ebola-virus-disease-democratic-republic-of-the-congo_1
2021-10-01,Yellow fever,vector,NG,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON336
