species_group,origin,exporter,importer,seized_shipments
orchids,VN,VN,US,8
elephant,XX,CA,US,8
primates,PH,PH,US,8
medicinal_plants,US,US,KR,8
tiger,XX,XX,US,8
pythons_reptiles,SD,SD,US,8
lion,PE,PE,ZA,8
leopard,XX,US,SN,8
pythons_reptiles,MY,FR,US,8
sea_fan,VN,VN,QA,8
rosewood,IN,IN,KR,8
agarwood,LK,LK,SG,8
owl,XX,NL,US,8
tiger,TH,TH,US,8
sea_fan,XX,HK,US,8
cacti_succulents,US,HK,US,8
sea_fan,XX,CA,US,8
monitor_lizard,ID,MX,US,8
monitor_lizard,MX,MX,US,8
shark_ray,XX,US,OM,8
eels,XX,CN,US,8
cacti_succulents,XX,CN,US,8
musk_deer,XX,ID,US,8
birds,SR,SR,US,8
pythons_reptiles,MZ,IT,US,8
leopard,MZ,MZ,SZ,8
sea_fan,KH,VN,US,8
tokay_gecko,XX,CN,US,8
cheetah,XX,AE,IN,8
rosewood,BZ,GB,US,8
primates,XX,AE,IN,8
owl,GT,GT,DE,8
pythons_reptiles,XX,CH,DE,7
pythons_reptiles,PG,FR,US,7
shark_ray,XX,PE,US,7
elephant,XX,FR,US,7
elephant,XX,HK,US,7
elephant,NA,NA,US,7
pangolin,CN,CN,US,7
medicinal_plants,US,US,JP,7
birds,NG,NG,US,7
medicinal_plants,XX,VN,US,7
sea_fan,XX,JP,US,7
owl,GB,GB,US,7
bear,XX,CN,US,7
cacti_succulents,XX,US,HK,7
cacti_succulents,GT,GT,US,7
elephant,XX,ZA,US,7
rosewood,IN,IN,ID,7
medicinal_plants,XX,US,HK,7
rosewood,XX,GB,US,7
primates,VN,KR,US,7
tiger,XX,KH,US,7
pythons_reptiles,XX,US,OM,7
sea_fan,VN,VN,LK,7
birds,GT,GT,CA,7
birds,EC,EC,US,7
pythons_reptiles,XX,MY,US,7
primates,CA,CA,US,7
pythons_reptiles,US,US,MX,7
sea_fan,KE,KE,US,7
turtles,XX,HK,GB,7
shark_ray,VE,VN,US,7
shark_ray,VE,LK,US,7
agarwood,SA,SA,US,6
cacti_succulents,HU,HU,US,6
pythons_reptiles,XX,US,CA,6
elephant,XX,CN,US,6
orchids,HK,HK,US,6
shark_ray,TH,TH,US,6
elephant,XX,NG,US,6
elephant,XX,SG,US,6
primates,XX,HK,US,6
birds,US,US,CA,6
pythons_reptiles,VN,GB,US,6
pythons_reptiles,CM,CM,US,6
monitor_lizard,ID,CH,US,6
monitor_lizard,ID,CO,US,6
birds,US,US,VG,6
shark_ray,XX,US,SN,6
pythons_reptiles,XX,US,SN,6
elephant,XX,US,HK,6
primates,KH,KH,US,6
leopard,ZA,ZA,US,6
sea_fan,XX,QA,US,6
pythons_reptiles,XX,US,IT,6
totoaba,MX,MX,US,6
elephant,TZ,US,CA,6
elephant,TZ,CA,US,6
sea_fan,XX,NG,US,6
elephant,XX,ZW,US,6
primates,MU,GB,US,6
pangolin,LR,LR,US,6
lion,DE,US,NL,6
jaguar,MX,MX,US,6
pythons_reptiles,JP,JP,US,6
primates,XX,TR,DK,6
sea_fan,US,US,AU,6
leopard,SN,SN,CI,6
cacti_succulents,HK,HK,US,6
cacti_succulents,XX,MX,US,6
owl,XX,GB,US,6
pythons_reptiles,ZW,CA,US,6
pythons_reptiles,US,CA,US,6
pythons_reptiles,ZA,SG,US,6
pythons_reptiles,AU,CA,US,6
tokay_gecko,VN,VN,US,6
shark_ray,XX,BR,US,6
pangolin,GH,GH,US,6
shark_ray,VE,US,VN,6
shark_ray,VE,US,LK,6
birds,XX,DE,CH,5
birds,HN,HN,US,5
pythons_reptiles,ZA,CA,US,5
pythons_reptiles,ZA,CH,US,5
pythons_reptiles,ZA,GB,US,5
pythons_reptiles,AU,SG,US,5
pythons_reptiles,XX,SA,US,5
rosewood,XX,CN,US,5
cacti_succulents,TH,TH,FR,5
sea_fan,XX,TW,US,5
shark_ray,BR,BR,US,5
shark_ray,EC,EC,US,5
shark_ray,NI,NI,US,5
elephant,XX,CH,US,5
elephant,XX,DE,US,5
elephant,XX,IT,US,5
primates,XX,CA,US,5
carnivorous_plants,LK,LK,US,5
medicinal_plants,US,US,FR,5
medicinal_plants,US,US,CA,5
lion,ZA,CA,US,5
leopard,XX,GB,US,5
tiger,XX,CA,US,5
